galaxy,snapshot,snap_int,time_Myr,ptype,xcom,ycom,zcom,vxcom,vycom
M31,333,333,4757.14285,1,-40.78688524590164,104.52181967213114,-46.005024590163934,9.881283050458718,12.982262653555049
M31,333,333,4757.14285,2,-40.72674638854296,104.64290784557907,-46.04012502223804,18.257260737204575,10.908652626308667
M31,333,333,4757.14285,3,-40.10070102700961,104.46632532819267,-45.30843021232703,11.845344503371212,13.624333130565619
M31,334,334,4771.42856,1,0.0,0.0,0.0,0.0,0.0
M31,334,334,4771.42856,2,-40.055871607479574,103.37739753823591,-45.253123107409735,15.309814996700407,14.069096819699826
M31,334,334,4771.42856,3,-39.90290832903771,103.89451966473011,-45.146510659659874,14.41124205362265,13.613336687376236
M31,335,335,4785.71428,1,-40.13540625,103.384625,-45.61749375,19.720583711386706,13.49501807666291
M31,335,335,4785.71428,2,-39.868689431869626,102.90444077549883,-45.04603747431835,13.563437628274029,13.711395348980382
M31,335,335,4785.71428,3,-39.69870844174501,103.38656821379529,-44.970674909137,13.093526690327424,13.430292528150467
M31,336,336,4800.0,1,0.0,0.0,0.0,0.0,0.0
M31,336,336,4800.0,2,-39.68453903238128,102.462828037156,-44.8367741279625,15.040021053712266,13.275143020976207
M31,336,336,4800.0,3,-40.16456687447548,103.15863832873757,-45.3580057427167,14.009275537753336,14.660795812725693
M31,337,337,4814.2857,1,-40.22103333333333,102.6314,-44.82539333333333,24.07454026382489,15.543736650921662
M31,337,337,4814.2857,2,-40.01509372367661,102.71521892807003,-45.19252281773887,17.81855830209901,12.0152343441658
M31,337,337,4814.2857,3,-39.980433986033134,102.70784989730248,-45.19018936053676,11.528547399619502,13.677616594168123
M31,338,338,4828.57142,1,-39.401729411764705,102.12523529411764,-44.66119411764706,19.30343019506463,18.10764970975324
M31,338,338,4828.57142,2,-39.84662800625103,102.30118350057575,-44.96190207270933,18.024200487296742,11.657650171272104
M31,338,338,4828.57142,3,-39.817654389747275,102.26873329740089,-44.94710424002874,12.570923790637826,15.229573367326875
M31,339,339,4842.85712,1,-39.10855,101.53928571428571,-44.50976428571428,12.53578680312139,17.851828426589602
M31,339,339,4842.85712,2,-39.62795686211599,101.92741049169808,-44.74766108125451,18.1973798272248,13.202783804069364
M31,339,339,4842.85712,3,-39.62560896220756,101.87640290341932,-44.72251941211758,12.882097876231347,15.289313886206472
M31,340,340,4857.14284,1,-38.87236428571428,101.4005,-44.110685714285715,9.10990855246843,18.35877441331803
M31,340,340,4857.14284,2,-39.47208911354266,101.5948185934031,-44.508375729464,17.658896459156967,14.132445644457219
M31,340,340,4857.14284,3,-39.43409313114361,101.54981419323903,-44.50108790457924,13.642180533229935,16.97565029873434
M31,341,341,4871.42857,1,-38.85266956521739,100.98918695652173,-44.07336956521739,7.374432212716765,17.271584343583818
M31,341,341,4871.42857,2,-39.25040124354763,101.25544274988269,-44.280020913499136,19.19155609720689,14.903653479050247
M31,341,341,4871.42857,3,-38.549315769822485,100.7832599373415,-43.84116185809383,16.321541234276502,14.979252203499634
M31,342,342,4885.71427,1,-38.421522099447515,100.97699447513813,-43.95969613259668,10.093646690081684,21.82255249614936
M31,342,342,4885.71427,2,-38.990546180205605,100.95006728482161,-44.02950778068938,18.068028908423642,14.783056139074477
M31,342,342,4885.71427,3,-38.3204369443153,100.44774916103128,-43.64886204194843,15.040008323106623,15.866973817834188
M31,343,343,4899.99999,1,0.0,0.0,0.0,0.0,0.0
M31,343,343,4899.99999,2,-38.754352335191236,100.69610278685374,-43.834320872573514,17.95308803744888,14.055337952798482
M31,343,343,4899.99999,3,-38.08558554532967,100.17116204459002,-43.45359563103339,16.295352403228215,13.51888559489695
M31,344,344,4914.28571,1,0.0,0.0,0.0,0.0,0.0
M31,344,344,4914.28571,2,-38.52079786341091,100.47256289584128,-43.57561373521557,18.838353860839735,13.962012668931418
M31,344,344,4914.28571,3,-38.54292147489791,100.39472578669229,-43.59399370646169,18.268259060266477,18.267872686527213
M31,345,345,4928.57141,1,-38.334125,100.147325,-42.803475,14.866255175866193,18.19140823655915
M31,345,345,4928.57141,2,-38.24868644359464,100.2638852581262,-43.32131309751434,19.186740460284998,15.560826683233305
M31,345,345,4928.57141,3,-38.29099463900216,100.19539720556489,-43.30554481890142,17.136177812234553,20.37035544853875
M31,346,346,4942.85713,1,0.0,0.0,0.0,0.0,0.0
M31,346,346,4942.85713,2,-37.969604474314124,100.02192973669673,-42.984512741668205,18.103537178772914,16.196796580415093
M31,346,346,4942.85713,3,-37.97403394762367,100.0658058519237,-43.030968444875526,21.744386793904447,18.522787129401525
M31,347,347,4957.14286,1,-37.3784,99.2692,-42.4303,15.964697997271653,17.42645492170819
M31,347,347,4957.14286,2,-37.74784957879448,99.88101590413943,-42.70095663761801,19.064976684967203,15.965180011360998
M31,347,347,4957.14286,3,-37.70684167010026,99.89072154923774,-42.73227792885593,15.327795037471011,20.404681148260387
M31,348,348,4971.42856,1,-37.54915593220339,99.49730169491525,-42.586698305084745,12.647916380705885,21.239591181176475
M31,348,348,4971.42856,2,-37.470554714532874,99.77169217128028,-42.41557528835063,19.56095442656654,16.947690626113314
M31,348,348,4971.42856,3,-37.49579257345818,99.74947110106555,-42.423694284791736,17.712081784411108,20.873739764353594
M31,349,349,4985.71428,1,-37.409718181818185,99.84066818181819,-41.913672727272726,15.285338784313728,25.342527265282584
M31,349,349,4985.71428,2,-37.228358826443944,99.65799367214044,-42.085130966874296,20.453411336993952,18.92215768501542
M31,349,349,4985.71428,3,-37.20780804431599,99.65400285404624,-42.11020637042389,19.291264663533983,24.3010164677675
M31,350,350,4999.99998,1,-36.8616,99.2826,-42.0604,20.86257990841122,21.139574392523368
M31,350,350,4999.99998,2,-36.995489090012676,99.60071422031272,-41.73576834061135,19.490057869820482,19.964213230857567
M31,350,350,4999.99998,3,-36.98423123416576,99.5698792616721,-41.789386114127154,16.299688393917073,23.557754078466164
M31,351,351,5014.2857,1,-36.701775,99.7918,-41.4597,24.978775024940617,17.464342361045137
M31,351,351,5014.2857,2,-36.72294620009788,99.53039241417885,-41.40571271761169,18.748022735707245,21.507297379802417
M31,351,351,5014.2857,3,-36.713882734506875,99.5250389438148,-41.4312659754039,19.142097032576334,23.81097223155657
M31,352,352,5028.57142,1,-36.4754,99.7882,-40.5186,25.573232452137773,17.33726298812352
M31,352,352,5028.57142,2,-36.476828495711,99.5174958016598,-41.045158400167374,18.846936818047734,21.58500007876043
M31,352,352,5028.57142,3,-36.45244290528343,99.50757567697677,-41.08352137441329,19.119640768399407,24.515913586419916
M31,353,353,5042.85712,1,-36.44265,99.55845,-40.7684,36.56988075471925,21.012601344086026
M31,353,353,5042.85712,2,-36.22875746936528,99.54752387443206,-40.71614459589701,19.337181578379216,20.647116863668458
M31,353,353,5042.85712,3,-36.156415866136996,99.52678599975924,-40.72323316480077,21.658811083287507,25.66629365028751
M31,354,354,5057.14285,1,-35.2675,99.308375,-39.923425,34.315731892288866,21.172690613219096
M31,354,354,5057.14285,2,-35.92387280503551,99.56936589735314,-40.39192040025823,20.43207513981812,22.788938229579703
M31,354,354,5057.14285,3,-35.85306297277764,99.5576822452421,-40.364008046253915,19.699111066317894,26.33625786343548
M31,355,355,5071.42857,1,-35.08639636363636,99.74955454545454,-40.34691090909091,26.58491427548544,20.633734996359227
M31,355,355,5071.42857,2,-35.61148827021823,99.59681036585366,-40.01156763478819,20.114559866690456,22.62717791265088
M31,355,355,5071.42857,3,-35.548625439441366,99.62377920780159,-39.97002966530219,20.226752215077983,24.86916586412976
M31,356,356,5085.71427,1,-34.40696,99.88126,-39.52068,18.359000815727704,21.715706112676063
M31,356,356,5085.71427,2,-35.324482684119225,99.70576826998897,-39.662637328497084,21.054677586177057,22.61608890713216
M31,356,356,5085.71427,3,-35.284216887656704,99.6948381027001,-39.62714992767599,20.388156372037898,24.69762126053846
M31,357,357,5099.99999,1,-34.560649999999995,99.28975,-38.7321,8.900679114014254,23.59286532541568
M31,357,357,5099.99999,2,-34.9722391367765,99.790790001989,-39.29389002187894,22.440223074243164,23.710443934669854
M31,357,357,5099.99999,3,-34.98419044002411,99.80827834840265,-39.252469584086796,21.336150951621764,26.04577363478045
M31,358,358,5114.28571,1,-34.221,99.5516,-38.6938,3.9208310558858517,22.896039575505352
M31,358,358,5114.28571,2,-34.63259878608924,99.92784408136482,-38.93042785433071,22.967734412637313,24.44311313995659
M31,358,358,5114.28571,3,-34.68916244578313,99.93055127710844,-38.88876561445783,24.97916428232124,26.44420118025709
M31,359,359,5128.57141,1,-34.28318156862745,99.8107168627451,-38.487494705882355,13.719696630952384,25.62576090952382
M31,359,359,5128.57141,2,-34.32237939314845,100.06014516150081,-38.568373468189236,23.424910003089845,26.042996501233546
M31,359,359,5128.57141,3,-34.3338668635487,100.07765910077146,-38.55508425747348,24.34853411065902,22.60232737103096
M31,360,360,5142.85713,1,0.0,0.0,0.0,0.0,0.0
M31,360,360,5142.85713,2,-33.94923439700374,100.2292236104869,-38.167286786516854,23.889480541466405,28.367823105750606
M31,360,360,5142.85713,3,-33.99389631909244,100.26823143857108,-38.17629998793145,22.930106387528067,27.570079361873294
M31,361,361,5157.14286,1,-33.3942010989011,100.32317307692308,-37.91333186813187,16.413661939218017,31.97724433175356
M31,361,361,5157.14286,2,-33.59185231495134,100.41810923031554,-37.79119091713359,23.855371081942643,28.043629696622318
M31,361,361,5157.14286,3,-33.61987794933655,100.4235882026538,-37.77781346200241,27.819714894404505,29.22106945482273
M31,362,362,5171.42856,1,0.0,0.0,0.0,0.0,0.0
M31,362,362,5171.42856,2,-33.20696091057925,100.62409863179231,-37.41097206673423,23.946496765322454,30.13147289466262
