snapshot,snap_int,time_Myr,JacobiR,Mstar_bound,frac_bound
361,361,5157.14286,55.97261186364551,9245000000.000004,0.9940860215053765
362,362,5171.42856,56.510000099972984,9247000000.000004,0.9943010752688174
363,363,5185.71428,57.00477176574871,9247000000.000004,0.9943010752688174
364,364,5199.99998,57.51826851895675,9247000000.000004,0.9943010752688174
365,365,5214.2857,58.043676997751795,9247000000.000004,0.9943010752688174
366,366,5228.57142,58.56211450669607,9248000000.000004,0.9944086021505378
367,367,5242.85712,59.00593575186872,9248000000.000004,0.9944086021505378
368,368,5257.14285,59.403822320158454,9248000000.000004,0.9944086021505378
369,369,5271.42857,59.790301642408664,9247000000.000004,0.9943010752688174
370,370,5285.71427,60.192440915698356,9247000000.000004,0.9943010752688174
371,371,5299.99999,60.42887909963725,9247000000.000004,0.9943010752688174
372,372,5314.28571,60.65344492316726,9250000000.000002,0.9946236559139785
373,373,5328.57141,60.83270180875128,9250000000.000002,0.9946236559139785
374,374,5342.85714,60.87934378962093,9251000000.000002,0.9947311827956989
375,375,5357.14284,61.00724201932221,9251000000.000002,0.9947311827956989
376,376,5371.42856,61.051350064179026,9252000000.000002,0.9948387096774194
377,377,5385.71428,61.09035536785199,9252000000.000002,0.9948387096774194
378,378,5399.99998,61.0951247665345,9251000000.000002,0.9947311827956989
379,379,5414.2857,61.15865497587694,9251000000.000002,0.9947311827956989
380,380,5428.57142,61.16603263943493,9251000000.000002,0.9947311827956989
381,381,5442.85712,61.163407737997765,9250000000.000002,0.9946236559139785
382,382,5457.14285,61.095252627788575,9249000000.000002,0.9945161290322581
383,383,5471.42857,60.993475660399284,9247000000.000004,0.9943010752688174
384,384,5485.71427,60.97144464084697,9245000000.000004,0.9940860215053765
385,385,5499.99999,60.77443579095121,9241000000.000002,0.9936559139784946
386,386,5514.28571,60.60916754782329,9241000000.000002,0.9936559139784946
387,387,5528.57141,60.46295339569713,9230000000.000002,0.9924731182795699
388,388,5542.85714,60.31074291361391,9225000000.000004,0.991935483870968
389,389,5557.14284,60.16284962480112,9222000000.000004,0.9916129032258066
390,390,5571.42856,59.93095511533994,9217000000.000004,0.9910752688172045
391,391,5585.71428,59.6858659751868,9211000000.000002,0.9904301075268818
392,392,5599.99998,59.4484793079289,9207000000.000004,0.9900000000000002
393,393,5614.2857,58.97743448836177,9203000000.000004,0.9895698924731184
394,394,5628.57143,58.681192499954875,9199000000.000002,0.9891397849462366
395,395,5642.85713,58.36545021446394,9196000000.000004,0.9888172043010754
396,396,5657.14285,58.00864633612976,9193000000.000004,0.9884946236559142
397,397,5671.42857,57.640859593862615,9191000000.000002,0.9882795698924731
398,398,5685.71427,57.214331519537545,9186000000.000004,0.9877419354838711
399,399,5699.99999,56.741082382364134,9177000000.000004,0.9867741935483874
400,400,5714.28569,56.298293483305336,9170000000.000002,0.9860215053763441
401,401,5728.57141,55.81301077184782,9165000000.000004,0.9854838709677421
402,402,5742.85714,55.42471237609684,9155000000.000004,0.9844086021505378
403,403,5757.14284,54.87375144501288,9150000000.000002,0.9838709677419355
404,404,5771.42856,54.33293065283856,9138000000.000002,0.9825806451612903
405,405,5785.71428,53.64461311684301,9121000000.000002,0.980752688172043
406,406,5799.99998,52.95164585439173,9115000000.000004,0.9801075268817206
407,407,5814.2857,52.2722526475273,9105000000.000004,0.9790322580645163
408,408,5828.57143,51.49983043032001,9090000000.000002,0.9774193548387097
409,409,5842.85713,50.67441053559889,9071000000.000002,0.9753763440860215
410,410,5857.14285,49.74170852934972,9058000000.000002,0.9739784946236559
411,411,5871.42857,48.915326230111596,9052000000.000002,0.9733333333333334
412,412,5885.71427,48.215981564131766,9045000000.000004,0.9725806451612905
413,413,5899.99999,47.59230743833525,9035000000.000004,0.9715053763440862
414,414,5914.28569,47.073584479661086,9028000000.000002,0.970752688172043
415,415,5928.57142,46.627414567643996,9025000000.000004,0.970430107526882
416,416,5942.85714,46.22623626067594,9022000000.000004,0.9701075268817206
417,417,5957.14284,45.872278659932434,9008000000.000002,0.9686021505376344
418,418,5971.42856,45.55528405057675,9004000000.000004,0.9681720430107529
419,419,5985.71428,45.252240717649975,8998000000.000002,0.9675268817204301
420,420,5999.99998,44.99376491244919,8992000000.000002,0.9668817204301076
421,421,6014.2857,44.81180228950444,8990000000.000002,0.9666666666666667
422,422,6028.57143,44.57528922966228,8986000000.000004,0.9662365591397851
423,423,6042.85713,44.33698508306676,8982000000.000004,0.9658064516129035
424,424,6057.14285,44.156685032733435,8979000000.000002,0.9654838709677419
425,425,6071.42855,43.98051480895243,8976000000.000004,0.9651612903225809
426,426,6085.71427,43.837772410273566,8973000000.000004,0.9648387096774196
427,427,6099.99999,43.659580005140825,8972000000.000002,0.9647311827956989
428,428,6114.28569,43.47134662493386,8970000000.000002,0.964516129032258
429,429,6128.57142,43.25315302706513,8969000000.000002,0.9644086021505377
430,430,6142.85714,43.03402463649686,8965000000.000004,0.9639784946236561
431,431,6157.14284,42.7773134725309,8962000000.000004,0.9636559139784948
432,432,6171.42856,42.557082120836945,8958000000.000002,0.9632258064516129
433,433,6185.71428,42.572007586494294,8954000000.000004,0.9627956989247314
434,434,6199.99998,42.5066669761299,8951000000.000002,0.9624731182795699
435,435,6214.28571,42.5011773203196,8949000000.000002,0.962258064516129
436,436,6228.57143,42.606782496394366,8947000000.000002,0.9620430107526882
