galaxy,snapshot,time_Myr,ptype,xcom,ycom,zcom,vxcom,vycom,vzcom
M33,158,2257.14285,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,159,2271.42856,1,-55.08237857142857,469.72059523809526,-45.446157142857146,148.62772208233275,-164.86997286449397,65.24635969416809
M33,159,2271.42856,2,-55.18026152608596,469.9814962077683,-45.08093453229143,153.11727065363533,-165.03870642222216,64.74400098175079
M33,159,2271.42856,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,160,2285.71428,1,-53.29344,467.8148,-43.97952,147.13295970639032,-162.7922203972366,66.06599932314334
M33,160,2285.71428,2,-53.00018848589522,467.61712941853773,-44.162896568796775,151.5470910444492,-165.81515740856617,63.75173747090838
M33,160,2285.71428,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,161,2300.0,1,-50.47272165605096,465.5398025477707,-43.4479821656051,146.30624571180553,-164.7190228125,65.89082930243055
M33,161,2300.0,2,-50.85437071816815,465.2398687406037,-43.259391604024515,149.93914999584723,-166.10732163019088,62.69718352796417
M33,161,2300.0,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,162,2314.2857,1,-48.37814871794872,463.13889743589743,-42.49725,142.58438625,-166.27160677083333,66.72124449809029
M33,162,2314.2857,2,-48.7105900786309,462.8696262719704,-42.357665783996296,149.18532191751478,-167.9639604422392,61.00893991427784
M33,162,2314.2857,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,163,2328.57142,1,-46.62004,460.5881,-41.64069,141.18126902777777,-169.05462984374998,66.01723385416666
M33,163,2328.57142,2,-46.57571402290871,460.45851313201433,-41.51572771028578,147.70429682970232,-168.33865827459013,59.09033496937984
M33,163,2328.57142,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,164,2342.85712,1,-44.76597875,458.204075,-40.337713125,140.74499582739966,-169.15077455497385,64.640841986911
M33,164,2342.85712,2,-44.472342911832946,458.0532609048724,-40.674862633410676,145.74547231555047,-169.31822205866487,58.07322386491965
M33,164,2342.85712,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,165,2357.14284,1,0.0,0.0,0.0,0.0,0.0,0.0
M33,165,2357.14284,2,-42.378028120265704,455.6183739657383,-39.84615374664958,145.2137980453849,-169.64490438084968,58.697903127402405
M33,165,2357.14284,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,166,2371.42857,1,-40.74815144927536,453.52226086956523,-38.571207246376815,140.29479447552447,-169.78371702797202,59.376831657342656
