snapshot,time_Myr,bin_index,r_mid,sigma_rad,sigma_tan,sigma_z
484,6914.2857,15,15.5,103.07775464784261,208.53275535000262,39.80355215476619
484,6914.2857,16,16.5,126.39503574040347,187.5962238504628,42.89189002856746
484,6914.2857,17,17.5,136.7526736871189,188.65952852133304,39.13463193049625
484,6914.2857,18,18.5,137.2484059144733,175.77450829583384,43.1913297344229
484,6914.2857,19,19.5,86.97503253670132,223.32188399887292,27.63752535824755
485,6928.57142,0,0.5,172.62849560528005,183.61720866611893,75.36127117185127
485,6928.57142,1,1.5,159.0000396085705,192.54521361667406,63.43745707397339
485,6928.57142,2,2.5,139.52190228751192,202.16828809644974,63.14114232714915
485,6928.57142,3,3.5,130.94824077116667,207.26879309940608,63.88592248239639
485,6928.57142,4,4.5,119.27400142295977,210.9899234731753,60.690902241777366
485,6928.57142,5,5.5,118.30328329233413,213.15469301690624,57.85521364258005
485,6928.57142,6,6.5,101.50580946255255,217.47471235503536,56.50177906015573
485,6928.57142,7,7.5,123.37464789788567,205.2247369585471,52.161962975332216
485,6928.57142,8,8.5,121.79015439720625,203.8325332178691,47.68950035631371
485,6928.57142,9,9.5,113.29006758438906,199.92223323984965,47.664230915611874
485,6928.57142,10,10.5,133.62559245381152,200.99079169202926,44.600390801419316
485,6928.57142,11,11.5,113.96764172276127,210.03146140872602,39.20594452498716
485,6928.57142,12,12.5,126.98154131296482,196.24205402278767,40.70211632718526
485,6928.57142,13,13.5,96.93128359319802,205.8156679008619,32.64870414902984
485,6928.57142,14,14.5,137.86204986176568,181.83720067146567,39.41182369402914
485,6928.57142,15,15.5,110.86422110935635,195.6912904580169,39.3132076051943
485,6928.57142,16,16.5,124.40519731723593,199.4983173133924,43.16642271542868
485,6928.57142,17,17.5,120.85783143641461,183.80844736957607,30.70352316428965
485,6928.57142,18,18.5,136.60000560754807,180.6624747432253,48.35203076559319
485,6928.57142,19,19.5,124.75173517604884,183.00264137221876,45.599536062804866
486,6942.85714,0,0.5,163.58124739830387,176.17625859186845,75.12154866354123
486,6942.85714,1,1.5,155.43351967449294,187.04389719526083,63.43457485974425
486,6942.85714,2,2.5,137.62241335650418,196.9601435944995,61.5992265348645
486,6942.85714,3,3.5,124.50780572205036,205.5073315658037,63.91818633400269
486,6942.85714,4,4.5,123.62127122291164,202.51932687699562,59.79380533273601
486,6942.85714,5,5.5,114.68773714365125,208.6708437480594,56.92092038066977
486,6942.85714,6,6.5,112.04428633493531,211.7400978117027,52.38183537552227
486,6942.85714,7,7.5,125.10789859646091,196.1039748103179,51.44574846877603
486,6942.85714,8,8.5,116.87162097685965,198.57607050505197,51.0056060887138
486,6942.85714,9,9.5,114.72123777315879,198.90176155533936,48.98732278598722
486,6942.85714,10,10.5,122.95161029477435,193.34950252154354,38.97718614754398
486,6942.85714,11,11.5,122.59785530598778,199.67422557384066,37.46691228364336
486,6942.85714,12,12.5,117.36682586560238,200.51791305263276,37.243067698619335
486,6942.85714,13,13.5,117.10777458001571,194.05497950887008,38.50172309038413
486,6942.85714,14,14.5,116.99331405860713,203.04443363065477,34.86506121971654
486,6942.85714,15,15.5,126.36989264539919,188.10106513755315,30.462845818882855
486,6942.85714,16,16.5,117.69865761310332,189.03690473261705,46.67722085091612
486,6942.85714,17,17.5,121.53532856568503,181.35719287720784,34.74767228473951
486,6942.85714,18,18.5,130.53643623756884,180.6277366612093,48.90829693631167
486,6942.85714,19,19.5,151.18111544938566,160.2096974855145,34.72532468128077
487,6957.14284,0,0.5,162.8020480688269,174.01458827099623,73.6673953290026
487,6957.14284,1,1.5,147.9273531590497,183.8773435539417,63.43588674869085
487,6957.14284,2,2.5,137.08294797691204,194.84720689806073,64.31816875588409
487,6957.14284,3,3.5,124.37203458734909,200.36000170629288,61.99781431035379
487,6957.14284,4,4.5,115.70161985750882,201.95632207191724,59.4180297802686
487,6957.14284,5,5.5,121.89519214283334,199.87047539119507,55.30538932888251
487,6957.14284,6,6.5,116.18195743506945,202.1440450347717,52.396679494716
487,6957.14284,7,7.5,119.68897806383251,198.33742849589407,49.30236643588967
487,6957.14284,8,8.5,113.65850299382912,195.2281937765314,50.88647811602604
487,6957.14284,9,9.5,112.03851948472139,193.0872159422218,47.065878145027824
487,6957.14284,10,10.5,112.7159148986058,191.67416111211264,40.20892771082002
487,6957.14284,11,11.5,124.87833690379917,193.2206451874058,35.57671505438506
487,6957.14284,12,12.5,117.39986203453694,193.63136393369126,43.24448264056345
487,6957.14284,13,13.5,126.37069617950982,191.8091419087053,35.09367628780309
487,6957.14284,14,14.5,107.61030984188355,197.96225024764854,35.52337955219318
487,6957.14284,15,15.5,114.80778775979539,172.64961875229153,27.34228005864161
487,6957.14284,16,16.5,131.52767758591432,184.12325737875483,40.201533781623226
487,6957.14284,17,17.5,106.86987256890176,182.53151904408858,44.059112689012856
487,6957.14284,18,18.5,125.6940401367454,177.8892066734605,36.124691277940805
487,6957.14284,19,19.5,135.30481718420032,179.30815713135075,43.46251668082731
488,6971.42856,0,0.5,158.54110217157745,176.10720702490613,72.39321946829072
488,6971.42856,1,1.5,142.43046632302782,182.93741312683366,63.52995126550587
488,6971.42856,2,2.5,130.3667626125604,193.77355808853315,64.97157387138
488,6971.42856,3,3.5,128.1598498929362,195.45711787639337,60.374547088779416
488,6971.42856,4,4.5,120.92310167453385,194.7048483893273,56.91659792183104
488,6971.42856,5,5.5,110.33065171180975,197.98356239025253,56.45953941761794
488,6971.42856,6,6.5,125.45388825317148,192.62777088952572,48.51548483094165
488,6971.42856,7,7.5,125.84491592274038,187.27696416700942,50.577674947518524
488,6971.42856,8,8.5,102.5596968491581,195.70170285439454,49.89881094661552
488,6971.42856,9,9.5,118.70932868252342,192.6841746604153,44.085840423698684
488,6971.42856,10,10.5,109.1744634427992,190.82855927202294,40.97966720992716
488,6971.42856,11,11.5,121.38994812716828,180.0296721842859,39.213998192151024
488,6971.42856,12,12.5,124.22778538323905,178.47066031308552,37.58693865140862
488,6971.42856,13,13.5,115.57448892977777,197.9655476054901,38.01020161604978
488,6971.42856,14,14.5,114.30261490030244,192.75386927062436,33.75750435550593
488,6971.42856,15,15.5,101.13146268202591,173.44527704569958,32.82693232393559
488,6971.42856,16,16.5,133.1916658151583,177.64520809980436,39.111409616716685
488,6971.42856,17,17.5,121.8821515410998,174.10188373610546,38.299129094539055
488,6971.42856,18,18.5,118.9917234083541,185.88617838155372,37.69082082687002
488,6971.42856,19,19.5,108.81373300447184,160.24369669082722,48.508000884632885
489,6985.71427,0,0.5,153.8162772791303,177.60761630598552,72.38191441771785
