snapshot,snap_int,time_Myr,r_M31_M33,M31_enc,M33_total,JacobiR
397,397,5671.42857,152.28889990459763,836843288359.9999,91147505660.00002,57.72427245583738
398,398,5685.71427,150.9715912508875,831541657489.9999,90998215179.99998,57.31498571296365
399,399,5699.99999,149.5700505541802,827317730359.9999,90848924700.0,56.84825370984457
400,400,5714.28569,148.09149900486415,821627912819.9999,90848924700.0,56.41591886563213
401,401,5728.57141,146.51271193330723,815788435339.9999,90811602080.0,55.939670804310666
402,402,5742.85714,145.173460153692,812019503809.9999,90811602080.0,55.5139575001582
403,403,5757.14284,143.41890689299555,805330828279.9998,90699634220.00002,54.97182390545324
404,404,5771.42856,141.57761486442692,799719851229.9999,90401053259.99998,54.33293065283856
405,405,5785.71428,139.6408523485588,793182840899.9999,90326408020.0,53.72168619802511
406,406,5799.99998,137.59920025344053,788415051379.9999,90251762780.0,53.028113034809415
407,407,5814.2857,135.14921984899436,780036000789.9998,90251762780.0,52.2697664872349
408,408,5828.57143,133.05615289806556,773579841469.9999,90027827060.00002,51.56030825555929
409,409,5842.85713,130.22540150280727,764891444699.9999,90139794920.0,50.67471256332939
410,410,5857.14285,127.38500805832147,757284756929.9999,90177117540.0,49.74170852934973
411,411,5871.42857,124.84720130666925,750286735219.9999,90251762780.0,48.915326230111596
412,412,5885.71427,122.72944298909528,744831433890.0,90326408020.0,48.21598156413177
413,413,5899.99999,120.9289001003804,740908826639.9999,90326408020.0,47.59230743833525
414,414,5914.28569,119.40750838686519,736527213269.9999,90251762780.0,47.073584479661086
415,415,5928.57142,118.12347827159344,733989645419.9999,90289085400.0,46.627414567644
416,416,5942.85714,117.02499025474425,731840264239.9999,90214440160.0,46.22623626067595
417,417,5957.14284,116.05165242897691,730380394869.9999,90214440160.0,45.872278659932434
418,418,5971.42856,115.26090696977217,729686872539.9999,90102472300.00002,45.55528405057675
419,419,5985.71428,114.54911483012835,729527186299.9999,89953181820.00002,45.25224071764998
420,420,5999.99998,113.9069216221284,729759697249.9999,89953181820.00002,44.99376491244918
421,421,6014.2857,113.31776128072609,728605163539.9999,90139794920.0,44.81562192857162
422,422,6028.57143,112.75955660772902,729527186299.9999,90139794920.0,44.576064437080866
423,423,6042.85713,112.24814669447072,729836532480.0,89953181820.00002,44.33698508306676
424,424,6057.14285,111.79715940553791,730378389609.9999,89990504440.00002,44.15403126711948
425,425,6071.42855,111.37806143757669,731223577139.9999,90027827060.00002,43.97763293246919
426,426,6085.71427,110.935437156937,730687735789.9999,90177117540.0,43.837772410273566
427,427,6099.99999,110.47329056952921,731069906679.9999,90251762780.0,43.659580005140825
428,428,6114.28569,109.98245442205253,731686593779.9999,90363730640.0,43.471346624933844
429,429,6128.57142,109.46905594855566,732764292259.9999,90401053259.99998,43.25315302706513
430,430,6142.85714,108.9111386107039,733302138869.9999,90475698499.99998,43.03402463649686
431,431,6157.14284,108.26830577842364,732533786569.9999,90363730640.0,42.7773134725309
432,432,6171.42856,107.58838830208093,732147605160.0,90624988980.00002,42.557082120836945
433,433,6185.71428,106.88063523863278,730916236220.0,90773279460.0,42.32391498564497
434,434,6199.99998,107.55201775883117,734909662919.9999,90735956840.0,42.5066669761299
435,435,6214.28571,108.0135992336336,736448372780.0,90773279460.0,42.66518950970436
436,436,6228.57143,107.66490760681121,734149326399.9999,90997215179.99998,42.606782496394366
437,437,6242.85713,107.8135121921794,733354895199.9999,90959892559.99998,42.6751552770041
438,438,6257.14285,107.3526736250796,730501965390.0,91071860419.99998,42.56544124098733
439,439,6271.42855,105.97680007850715,724185434449.9999,91183828280.00002,42.158985235121804
440,440,6285.71427,104.10706706936806,715630666059.9999,91370441380.0,41.60790090729323
441,441,6299.99999,101.78335108008277,705998214970.0,91407764000.00002,40.868927501050166
