# snap  time[Myr]  R_bin(kpc)  warp[deg]  h_z[kpc]
677    9671.43  302.07  136.50   33.336
677    9671.43  342.34     nan      nan
677    9671.43  382.62     nan      nan
678    9685.71   20.35  103.95    3.226
678    9685.71   61.04  123.48   13.921
678    9685.71  101.73  120.98   19.351
678    9685.71  142.42  120.49   28.720
678    9685.71  183.11  124.02   22.213
678    9685.71  223.81  124.01   21.298
678    9685.71  264.50  126.34   18.984
678    9685.71  305.19  135.59   33.252
678    9685.71  345.88     nan      nan
678    9685.71  386.58     nan      nan
679    9700.00   20.55  105.41    3.300
679    9700.00   61.64  123.59   13.957
679    9700.00  102.73  121.01   18.725
679    9700.00  143.82  120.35   28.321
679    9700.00  184.92  124.08   22.342
679    9700.00  226.01  123.91   21.133
679    9700.00  267.10  126.82   18.153
679    9700.00  308.20  135.03   32.840
679    9700.00  349.29     nan      nan
679    9700.00  390.38     nan      nan
680    9714.29   20.74  107.89    3.445
680    9714.29   62.21  123.62   13.755
680    9714.29  103.68  120.87   18.515
680    9714.29  145.16  120.25   27.825
680    9714.29  186.63  124.14   22.563
680    9714.29  228.10  123.95   20.905
680    9714.29  269.58  126.79   18.142
680    9714.29  311.05  134.60   32.489
680    9714.29  352.52     nan      nan
680    9714.29  394.00     nan      nan
681    9728.57   20.92  109.42    3.491
681    9728.57   62.77  124.00   13.664
681    9728.57  104.62  120.51   18.549
681    9728.57  146.46  120.26   27.523
681    9728.57  188.31  124.18   22.201
681    9728.57  230.15  124.07   20.558
681    9728.57  272.00  126.81   17.817
681    9728.57  313.85  133.98   31.454
681    9728.57  355.69     nan      nan
681    9728.57  397.54     nan      nan
682    9742.86   21.09  111.96    3.376
682    9742.86   63.28  123.88   14.367
682    9742.86  105.47  120.66   18.140
682    9742.86  147.66  119.97   27.253
682    9742.86  189.85  124.35   22.080
682    9742.86  232.04  124.23   20.704
682    9742.86  274.23  126.99   17.908
682    9742.86  316.42  134.67   32.043
682    9742.86  358.61     nan      nan
682    9742.86  400.80     nan      nan
683    9757.14   21.26  113.49    3.442
683    9757.14   63.77  123.64   14.426
683    9757.14  106.28  120.80   17.778
683    9757.14  148.79  120.11   26.830
683    9757.14  191.30  124.17   22.752
683    9757.14  233.81  124.25   20.319
683    9757.14  276.33  126.77   18.535
683    9757.14  318.84  136.28   30.677
683    9757.14  361.35     nan      nan
683    9757.14  403.86     nan      nan
684    9771.43   21.41  114.42    3.518
684    9771.43   64.22  123.46   14.526
684    9771.43  107.03  121.25   17.251
684    9771.43  149.84  119.92   26.776
684    9771.43  192.66  124.03   22.853
684    9771.43  235.47  124.44   20.993
684    9771.43  278.28  126.99   18.440
684    9771.43  321.10  135.89   30.911
684    9771.43  363.91     nan      nan
684    9771.43  406.72     nan      nan
685    9785.71   21.55  114.89    3.527
685    9785.71   64.66  123.55   14.949
685    9785.71  107.77  121.29   18.201
685    9785.71  150.88  120.37   24.731
685    9785.71  193.99  123.81   22.823
685    9785.71  237.10  124.85   21.332
685    9785.71  280.21  127.04   18.071
685    9785.71  323.31  135.17   30.329
685    9785.71  366.42     nan      nan
685    9785.71  409.53     nan      nan
686    9800.00   21.69  115.51    3.588
686    9800.00   65.07  123.49   14.933
686    9800.00  108.46  121.63   17.822
686    9800.00  151.84  120.35   24.542
686    9800.00  195.22  123.78   22.669
686    9800.00  238.61  124.97   21.448
686    9800.00  281.99  127.33   17.496
686    9800.00  325.37  134.72   30.052
686    9800.00  368.75     nan      nan
686    9800.00  412.14     nan      nan
687    9814.29   21.82  115.18    3.611
687    9814.29   65.45  123.45   14.873
687    9814.29  109.09  121.93   16.788
687    9814.29  152.73  120.09   25.580
687    9814.29  196.36  123.70   22.746
687    9814.29  240.00  125.01   21.703
687    9814.29  283.63  127.14   17.580
687    9814.29  327.27  134.37   30.209
687    9814.29  370.91     nan      nan
687    9814.29  414.54     nan      nan
688    9828.57   21.94  115.25    3.652
688    9828.57   65.82  123.58   15.044
688    9828.57  109.70  121.80   16.748
688    9828.57  153.57  120.48   24.602
688    9828.57  197.45  123.64   23.039
688    9828.57  241.33  125.15   21.338
688    9828.57  285.21  127.20   17.716
688    9828.57  329.09  133.90   29.935
688    9828.57  372.97     nan      nan
688    9828.57  416.84     nan      nan
689    9842.86   22.05  115.21    3.658
689    9842.86   66.15  123.59   15.033
689    9842.86  110.26  121.77   17.434
689    9842.86  154.36  120.78   23.310
689    9842.86  198.46  123.58   22.680
689    9842.86  242.56  125.46   21.779
689    9842.86  286.66  127.23   17.528
689    9842.86  330.77  133.49   29.629
689    9842.86  374.87     nan      nan
689    9842.86  418.97     nan      nan
690    9857.14   22.16  115.78    3.657
690    9857.14   66.48  123.58   15.278
690    9857.14  110.79  121.92   17.154
690    9857.14  155.11  120.72   23.061
690    9857.14  199.43  123.57   22.652
690    9857.14  243.75  125.77   21.304
690    9857.14  288.06  127.07   16.870
690    9857.14  332.38  134.89   29.517
690    9857.14  376.70     nan      nan
690    9857.14  421.02     nan      nan
691    9871.43   22.27  115.97    3.662
691    9871.43   66.82  123.87   15.092
691    9871.43  111.36  122.06   16.869
691    9871.43  155.91  120.98   22.798
691    9871.43  200.46  123.56   22.334
691    9871.43  245.00  126.22   20.465
691    9871.43  289.55  127.40   16.038
691    9871.43  334.09     nan      nan
691    9871.43  378.64     nan      nan
691    9871.43  423.18     nan      nan
692    9885.71   22.36  114.70    3.648
692    9885.71   67.08  124.00   15.136
692    9885.71  111.79  122.06   16.752
692    9885.71  156.51  120.85   22.683
692    9885.71  201.23  123.39   22.481
692    9885.71  245.94  126.14   20.665
692    9885.71  290.66  127.23   16.194
692    9885.71  335.38     nan      nan
692    9885.71  380.09     nan      nan
692    9885.71  424.81     nan      nan
693    9900.00   22.45  114.01    3.629
693    9900.00   67.36  124.44   14.767
693    9900.00  112.27  122.28   16.460
693    9900.00  157.18  121.24   22.366
693    9900.00  202.09  123.45   22.316
693    9900.00  247.00  126.06   21.177
693    9900.00  291.91  127.89   15.892
693    9900.00  336.82     nan      nan
693    9900.00  381.73     nan      nan
693    9900.00  426.64     nan      nan
694    9914.29   22.54  112.86    3.610
694    9914.29   67.62  124.55   14.606
694    9914.29  112.71  122.65   16.304
694    9914.29  157.79  121.49   22.050
694    9914.29  202.87  123.38   21.457
694    9914.29  247.95  126.29   21.808
694    9914.29  293.04  127.87   15.201
694    9914.29  338.12     nan      nan
694    9914.29  383.20     nan      nan
694    9914.29  428.28     nan      nan
695    9928.57   22.61  111.39    3.568
695    9928.57   67.84  124.78   14.421
695    9928.57  113.07  122.66   16.227
695    9928.57  158.30  121.57   21.911
695    9928.57  203.52  123.51   21.241
695    9928.57  248.75  126.12   21.806
695    9928.57  293.98  127.90   15.772
695    9928.57  339.21     nan      nan
695    9928.57  384.43     nan      nan
695    9928.57  429.66     nan      nan
696    9942.86   22.66  110.04    3.556
696    9942.86   67.98  124.36   14.399
696    9942.86  113.30  122.65   16.010
696    9942.86  158.62  121.31   22.294
696    9942.86  203.94  123.13   21.671
696    9942.86  249.26  125.77   22.345
696    9942.86  294.58  127.59   16.229
696    9942.86  339.90     nan      nan
696    9942.86  385.22     nan      nan
696    9942.86  430.54     nan      nan
697    9957.14   22.72  110.10    3.527
697    9957.14   68.16  124.14   14.357
697    9957.14  113.60  122.67   15.738
697    9957.14  159.04  121.73   22.077
697    9957.14  204.48  123.11   21.879
697    9957.14  249.92  125.59   21.952
697    9957.14  295.36  127.58   16.076
697    9957.14  340.80     nan      nan
697    9957.14  386.23     nan      nan
697    9957.14  431.67     nan      nan
698    9971.43   22.77  108.99    3.481
698    9971.43   68.32  124.41   14.272
698    9971.43  113.87  122.86   15.609
698    9971.43  159.42  122.00   21.784
698    9971.43  204.96  123.08   21.522
698    9971.43  250.51  125.60   21.926
698    9971.43  296.06  127.57   15.976
698    9971.43  341.60     nan      nan
698    9971.43  387.15     nan      nan
698    9971.43  432.70     nan      nan
699    9985.71   22.82  108.61    3.469
699    9985.71   68.47  124.46   14.077
699    9985.71  114.12  123.12   15.074
699    9985.71  159.77  122.25   21.819
699    9985.71  205.42  123.30   21.220
699    9985.71  251.07  125.66   21.312
699    9985.71  296.72  127.73   16.528
699    9985.71  342.37     nan      nan
699    9985.71  388.02     nan      nan
699    9985.71  433.67     nan      nan
700   10000.00   22.86  107.52    3.442
700   10000.00   68.58  124.44   13.970
700   10000.00  114.29  123.20   14.964
700   10000.00  160.01  122.46   21.791
700   10000.00  205.73  123.21   20.999
700   10000.00  251.45  125.39   21.516
700   10000.00  297.16  127.95   16.077
700   10000.00  342.88     nan      nan
700   10000.00  388.60     nan      nan
700   10000.00  434.32     nan      nan
701   10014.29   22.89  105.44    3.403
701   10014.29   68.68  124.50   13.638
701   10014.29  114.46  123.67   14.792
701   10014.29  160.24  122.54   21.560
701   10014.29  206.03  123.18   21.182
701   10014.29  251.81  125.44   20.803
701   10014.29  297.60  128.05   16.681
701   10014.29  343.38     nan      nan
701   10014.29  389.16     nan      nan
701   10014.29  434.95     nan      nan
702   10028.57   22.90  104.11    3.702
702   10028.57   68.71  124.20   12.552
702   10028.57  114.51  123.49   14.770
702   10028.57  160.32  122.34   21.390
702   10028.57  206.12  122.71   21.200
702   10028.57  251.92  125.10   21.963
702   10028.57  297.73  128.05   17.874
702   10028.57  343.53     nan      nan
702   10028.57  389.34     nan      nan
702   10028.57  435.14     nan      nan
703   10042.86   22.91  102.45    3.678
703   10042.86   68.74  124.23   12.329
703   10042.86  114.57  123.54   14.671
703   10042.86  160.40  122.18   21.357
703   10042.86  206.23  122.81   20.629
703   10042.86  252.06  124.73   22.789
703   10042.86  297.89  127.74   17.377
703   10042.86  343.72     nan      nan
703   10042.86  389.55     nan      nan
703   10042.86  435.37     nan      nan
704   10057.14   22.92  101.47    3.654
704   10057.14   68.77  124.41   12.200
704   10057.14  114.62  123.72   14.625
704   10057.14  160.47  122.35   21.034
704   10057.14  206.31  122.98   20.299
704   10057.14  252.16  124.69   22.284
704   10057.14  298.01  127.40   17.837
704   10057.14  343.85     nan      nan
704   10057.14  389.70     nan      nan
704   10057.14  435.55     nan      nan
705   10071.43   22.93  100.41    3.622
705   10071.43   68.78  124.28   11.730
705   10071.43  114.63  123.92   14.827
705   10071.43  160.48  122.64   20.472
705   10071.43  206.33  122.98   21.046
705   10071.43  252.18  124.70   21.533
705   10071.43  298.03  127.56   17.347
705   10071.43  343.88     nan      nan
705   10071.43  389.74     nan      nan
705   10071.43  435.59     nan      nan
706   10085.71   22.92  101.85    3.599
706   10085.71   68.77  124.19   11.702
706   10085.71  114.61  124.18   14.583
706   10085.71  160.46  123.02   19.864
706   10085.71  206.30  123.19   21.269
706   10085.71  252.15  124.58   21.290
706   10085.71  297.99  127.69   17.057
706   10085.71  343.84     nan      nan
706   10085.71  389.69     nan      nan
706   10085.71  435.53     nan      nan
707   10100.00   22.91  101.93    3.569
707   10100.00   68.72  124.33   11.661
707   10100.00  114.54  124.21   14.279
707   10100.00  160.35  123.03   19.487
707   10100.00  206.17  123.07   22.087
707   10100.00  251.98  124.26   21.049
707   10100.00  297.80  127.51   18.181
707   10100.00  343.62     nan      nan
707   10100.00  389.43     nan      nan
707   10100.00  435.25     nan      nan
708   10114.29   22.89  102.09    3.607
708   10114.29   68.67  124.56   11.475
708   10114.29  114.45  124.33   13.672
708   10114.29  160.23  123.37   19.616
708   10114.29  206.02  123.32   21.909
708   10114.29  251.80  124.46   20.586
708   10114.29  297.58  126.97   17.488
708   10114.29  343.36     nan      nan
708   10114.29  389.14     nan      nan
708   10114.29  434.92     nan      nan
709   10128.57   22.86  102.47    3.589
709   10128.57   68.58  124.02   11.607
709   10128.57  114.30  124.51   13.491
709   10128.57  160.01  123.43   19.630
709   10128.57  205.73  123.41   21.852
709   10128.57  251.45  124.12   20.603
709   10128.57  297.17  126.84   17.520
709   10128.57  342.89     nan      nan
709   10128.57  388.61     nan      nan
709   10128.57  434.33     nan      nan
710   10142.86   22.82  101.32    3.561
710   10142.86   68.46  123.83   11.573
710   10142.86  114.10  124.46   13.493
710   10142.86  159.74  123.38   19.680
710   10142.86  205.38  123.05   22.294
710   10142.86  251.03  123.84   20.784
710   10142.86  296.67  126.64   17.592
710   10142.86  342.31     nan      nan
710   10142.86  387.95     nan      nan
710   10142.86  433.59     nan      nan
711   10157.14   22.78  101.60    3.542
711   10157.14   68.33  123.55   11.590
711   10157.14  113.89  124.57   13.435
711   10157.14  159.44  123.59   19.536
711   10157.14  204.99  123.15   22.394
711   10157.14  250.55  123.76   20.681
711   10157.14  296.10  126.56   17.581
711   10157.14  341.66     nan      nan
711   10157.14  387.21     nan      nan
711   10157.14  432.77     nan      nan
712   10171.43   22.73  101.52    3.518
712   10171.43   68.19  123.15   11.602
712   10171.43  113.64  124.86   13.388
712   10171.43  159.10  123.66   19.534
712   10171.43  204.56  123.25   21.967
712   10171.43  250.01  123.51   21.990
712   10171.43  295.47  126.50   17.569
712   10171.43  340.93     nan      nan
712   10171.43  386.38     nan      nan
712   10171.43  431.84     nan      nan
713   10185.71   22.67  101.35    3.503
713   10185.71   68.02  123.79   12.257
713   10185.71  113.36  124.94   12.709
713   10185.71  158.71  123.99   19.863
713   10185.71  204.05  123.37   21.626
713   10185.71  249.40  123.14   22.436
713   10185.71  294.74  126.63   20.175
713   10185.71  340.09     nan      nan
713   10185.71  385.44     nan      nan
713   10185.71  430.78     nan      nan
714   10200.00   22.61  103.76    3.453
714   10200.00   67.82  124.04   12.432
714   10200.00  113.04  124.99   12.778
714   10200.00  158.25  124.07   19.650
714   10200.00  203.46  123.32   21.544
714   10200.00  248.68  122.95   22.663
714   10200.00  293.89  126.64   20.538
714   10200.00  339.11     nan      nan
714   10200.00  384.32     nan      nan
714   10200.00  429.54     nan      nan
715   10214.29   22.53  102.51    3.414
715   10214.29   67.59  123.96   12.652
715   10214.29  112.66  124.70   13.104
715   10214.29  157.72  123.77   19.546
715   10214.29  202.78  122.65   20.990
715   10214.29  247.85  122.37   23.416
715   10214.29  292.91  126.03   20.100
715   10214.29  337.97     nan      nan
715   10214.29  383.04     nan      nan
715   10214.29  428.10     nan      nan
716   10228.57   22.45  103.49    3.375
716   10228.57   67.35  124.39   12.814
716   10228.57  112.25  124.82   13.257
716   10228.57  157.15  123.98   19.278
716   10228.57  202.05  122.87   21.168
716   10228.57  246.95  122.26   23.128
716   10228.57  291.86  125.67   19.756
716   10228.57  336.76     nan      nan
716   10228.57  381.66     nan      nan
716   10228.57  426.56     nan      nan
717   10242.86   22.36  102.83    3.301
717   10242.86   67.09  124.49   13.097
717   10242.86  111.81  124.81   13.280
717   10242.86  156.53  124.04   19.226
717   10242.86  201.26  122.79   21.220
717   10242.86  245.98  121.91   23.200
717   10242.86  290.70  125.59   19.492
717   10242.86  335.43     nan      nan
717   10242.86  380.15     nan      nan
717   10242.86  424.88     nan      nan
718   10257.14   22.26  101.40    3.255
718   10257.14   66.79  124.98   13.244
718   10257.14  111.32  125.01   13.274
718   10257.14  155.85  124.45   19.097
718   10257.14  200.38  122.18   21.539
718   10257.14  244.91  121.77   23.396
718   10257.14  289.44  125.24   19.735
718   10257.14  333.97     nan      nan
718   10257.14  378.49     nan      nan
718   10257.14  423.02     nan      nan
719   10271.43   22.16  100.33    3.215
719   10271.43   66.48  124.64   13.579
719   10271.43  110.80  125.23   13.182
719   10271.43  155.12  124.61   18.928
719   10271.43  199.44  122.17   22.201
719   10271.43  243.76  121.52   23.471
719   10271.43  288.08  124.87   19.997
719   10271.43  332.40     nan      nan
719   10271.43  376.72     nan      nan
719   10271.43  421.03     nan      nan
720   10285.71   22.05  102.11    3.147
720   10285.71   66.14  124.88   13.874
720   10285.71  110.23  125.53   13.240
720   10285.71  154.32  124.74   18.983
720   10285.71  198.41  122.29   21.749
720   10285.71  242.50  121.29   23.414
720   10285.71  286.60  124.90   21.372
720   10285.71  330.69     nan      nan
720   10285.71  374.78     nan      nan
720   10285.71  418.87     nan      nan
721   10300.00   21.92  101.54    3.077
721   10300.00   65.77  125.79   13.903
721   10300.00  109.61  125.75   13.288
721   10300.00  153.46  124.96   19.033
721   10300.00  197.31  122.23   21.987
721   10300.00  241.15  121.15   23.079
721   10300.00  285.00  124.23   21.203
721   10300.00  328.84     nan      nan
721   10300.00  372.69     nan      nan
721   10300.00  416.53     nan      nan
722   10314.29   21.79  100.18    3.060
722   10314.29   65.38  126.16   13.866
722   10314.29  108.96  125.75   13.436
722   10314.29  152.54  125.03   19.028
722   10314.29  196.13  122.29   22.322
722   10314.29  239.71  120.85   22.643
722   10314.29  283.29  123.95   21.249
722   10314.29  326.88     nan      nan
722   10314.29  370.46     nan      nan
722   10314.29  414.04     nan      nan
723   10328.57   21.65  101.80    3.019
723   10328.57   64.96  126.67   13.841
723   10328.57  108.26  125.84   13.564
723   10328.57  151.57  125.03   19.109
723   10328.57  194.88  122.09   22.323
723   10328.57  238.18  120.63   22.696
723   10328.57  281.49  123.27   20.930
723   10328.57  324.79     nan      nan
723   10328.57  368.10     nan      nan
723   10328.57  411.41     nan      nan
724   10342.86   21.51  100.78    2.982
724   10342.86   64.53  126.41   13.900
724   10342.86  107.55  125.52   13.874
724   10342.86  150.58  124.91   18.960
724   10342.86  193.60  121.46   23.064
724   10342.86  236.62  120.08   22.336
724   10342.86  279.64  122.48   21.255
724   10342.86  322.66     nan      nan
724   10342.86  365.69     nan      nan
724   10342.86  408.71     nan      nan
725   10357.14   21.35   98.29    2.905
725   10357.14   64.05  127.20   14.111
725   10357.14  106.75  125.71   13.776
725   10357.14  149.46  124.90   19.158
725   10357.14  192.16  121.76   23.714
725   10357.14  234.86  119.87   22.462
725   10357.14  277.56  122.00   20.728
725   10357.14  320.26     nan      nan
725   10357.14  362.97     nan      nan
725   10357.14  405.67     nan      nan
726   10371.43   21.18  102.74    2.904
726   10371.43   63.54  126.92   14.222
726   10371.43  105.89  125.84   13.487
726   10371.43  148.25  124.84   19.571
726   10371.43  190.61  121.71   24.321
726   10371.43  232.96  119.92   23.206
726   10371.43  275.32  120.77   16.767
726   10371.43  317.68     nan      nan
726   10371.43  360.03     nan      nan
726   10371.43  402.39     nan      nan
727   10385.71   21.00  107.45    2.889
727   10385.71   63.01  126.77   14.142
727   10385.71  105.02  126.25   13.532
727   10385.71  147.02  124.72   19.707
727   10385.71  189.03  122.05   24.427
727   10385.71  231.04  119.77   23.271
727   10385.71  273.05  120.34   17.429
727   10385.71  315.05     nan      nan
727   10385.71  357.06     nan      nan
727   10385.71  399.07     nan      nan
728   10400.00   20.81  103.28    2.775
728   10400.00   62.42  128.23   13.731
728   10400.00  104.03  126.71   13.692
728   10400.00  145.64  124.79   19.873
728   10400.00  187.25  122.32   23.964
728   10400.00  228.86  119.56   23.441
728   10400.00  270.47  120.33   17.298
728   10400.00  312.09     nan      nan
728   10400.00  353.70     nan      nan
728   10400.00  395.31     nan      nan
729   10414.29   20.61   98.85    2.729
729   10414.29   61.83  129.03   13.739
729   10414.29  103.05  126.87   14.069
729   10414.29  144.27  124.53   19.371
729   10414.29  185.49  122.23   22.192
729   10414.29  226.71  119.20   23.491
729   10414.29  267.93  120.08   17.479
729   10414.29  309.15     nan      nan
729   10414.29  350.37     nan      nan
729   10414.29  391.59     nan      nan
730   10428.57   20.41   99.66    2.725
730   10428.57   61.22  128.85   13.533
730   10428.57  102.03  126.97   14.219
730   10428.57  142.84  124.63   19.299
730   10428.57  183.65  122.93   21.606
730   10428.57  224.46  118.41   23.834
730   10428.57  265.27  119.53   17.261
730   10428.57  306.08     nan      nan
730   10428.57  346.89     nan      nan
730   10428.57  387.71     nan      nan
731   10442.86   20.18  101.54    2.709
731   10442.86   60.54  129.16   13.762
731   10442.86  100.89  127.40   13.872
731   10442.86  141.25  124.65   19.670
731   10442.86  181.61  122.63   20.483
731   10442.86  221.97  118.44   24.354
731   10442.86  262.33  118.84   18.204
731   10442.86  302.68     nan      nan
731   10442.86  343.04     nan      nan
731   10442.86  383.40     nan      nan
732   10457.14   19.95  103.36    3.026
732   10457.14   59.86  129.07   12.939
732   10457.14   99.76  127.69   13.763
732   10457.14  139.67  124.43   19.587
732   10457.14  179.57  122.55   20.008
732   10457.14  219.48  118.18   24.162
732   10457.14  259.38  117.88   18.061
732   10457.14  299.29     nan      nan
732   10457.14  339.19     nan      nan
732   10457.14  379.10     nan      nan
733   10471.43   19.71  103.20    3.012
733   10471.43   59.14  129.35   13.088
733   10471.43   98.57  127.92   13.753
733   10471.43  138.00  124.39   19.434
733   10471.43  177.42  122.34   19.307
733   10471.43  216.85  117.74   24.761
733   10471.43  256.28  117.93   17.654
733   10471.43  295.71  121.77   26.821
733   10471.43  335.13     nan      nan
733   10471.43  374.56     nan      nan
734   10485.71   19.46  108.06    3.000
734   10485.71   58.39  129.29   13.341
734   10485.71   97.32  128.10   14.190
734   10485.71  136.25  124.19   18.441
734   10485.71  175.17  123.04   19.446
734   10485.71  214.10  117.28   24.875
734   10485.71  253.03  117.20   17.578
734   10485.71  291.96  119.40   26.299
734   10485.71  330.88     nan      nan
734   10485.71  369.81     nan      nan
735   10500.00   19.21  109.59    2.953
735   10500.00   57.64  128.63   12.465
735   10500.00   96.07  128.35   14.544
735   10500.00  134.49  124.89   18.175
735   10500.00  172.92  122.91   19.021
735   10500.00  211.34  116.92   25.056
735   10500.00  249.77  116.59   18.679
735   10500.00  288.20     nan      nan
735   10500.00  326.62     nan      nan
735   10500.00  365.05     nan      nan
736   10514.29   18.95  109.25    2.714
736   10514.29   56.85  128.24   13.676
736   10514.29   94.75  128.32   14.343
736   10514.29  132.65  126.56   18.294
736   10514.29  170.55  123.26   18.790
736   10514.29  208.45  116.74   23.442
736   10514.29  246.35  115.56   23.400
736   10514.29  284.25     nan      nan
736   10514.29  322.15     nan      nan
736   10514.29  360.05     nan      nan
737   10528.57   18.67  111.26    2.705
737   10528.57   56.01  128.21   13.660
737   10528.57   93.34  128.35   14.194
737   10528.57  130.68  127.90   18.518
737   10528.57  168.02  123.46   18.133
737   10528.57  205.36  117.34   24.211
737   10528.57  242.69  114.62   24.248
737   10528.57  280.03  111.35   23.189
737   10528.57  317.37     nan      nan
737   10528.57  354.71     nan      nan
738   10542.86   18.41  112.67    2.712
738   10542.86   55.22  127.68   13.886
738   10542.86   92.03  128.45   13.650
738   10542.86  128.84  128.61   19.138
738   10542.86  165.66  123.70   17.257
738   10542.86  202.47  117.43   23.592
738   10542.86  239.28  113.96   24.094
738   10542.86  276.10     nan      nan
738   10542.86  312.91     nan      nan
738   10542.86  349.72     nan      nan
739   10557.14   18.12  113.38    2.683
739   10557.14   54.37  127.60   13.904
739   10557.14   90.62  128.49   13.513
739   10557.14  126.87  129.07   19.282
739   10557.14  163.11  124.28   16.716
739   10557.14  199.36  117.75   23.901
739   10557.14  235.61  113.12   23.976
739   10557.14  271.85     nan      nan
739   10557.14  308.10     nan      nan
739   10557.14  344.35     nan      nan
740   10571.43   17.84  113.22    2.659
740   10571.43   53.52  127.69   13.419
740   10571.43   89.20  128.30   13.511
740   10571.43  124.87  129.44   19.010
740   10571.43  160.55  124.14   17.024
740   10571.43  196.23  118.84   25.977
740   10571.43  231.91  113.81   23.684
740   10571.43  267.59  112.70   28.867
740   10571.43  303.27     nan      nan
740   10571.43  338.94     nan      nan
741   10585.71   17.56  114.95    2.852
741   10585.71   52.68  127.49   12.534
741   10585.71   87.80  128.22   13.740
741   10585.71  122.92  128.89   18.743
741   10585.71  158.04  125.13   17.123
741   10585.71  193.16  119.10   25.520
741   10585.71  228.28  113.89   22.691
741   10585.71  263.40  114.40   32.693
741   10585.71  298.51     nan      nan
741   10585.71  333.63     nan      nan
742   10600.00   17.29  111.31    2.454
742   10600.00   51.88  127.46   13.344
742   10600.00   86.47  127.88   13.241
742   10600.00  121.06  129.32   19.327
742   10600.00  155.65  126.28   16.853
742   10600.00  190.24  119.55   25.540
742   10600.00  224.83  115.71   23.667
742   10600.00  259.41  113.55   32.934
742   10600.00  294.00     nan      nan
742   10600.00  328.59     nan      nan
743   10614.29   17.03  109.11    2.355
743   10614.29   51.09  127.22   13.238
743   10614.29   85.15  127.55   13.298
743   10614.29  119.21  128.58   18.805
743   10614.29  153.27  127.52   17.620
743   10614.29  187.32  120.04   25.798
743   10614.29  221.38  118.27   24.221
743   10614.29  255.44  114.20   32.421
743   10614.29  289.50     nan      nan
743   10614.29  323.56     nan      nan
744   10628.57   16.79  109.69    2.338
744   10628.57   50.37  127.42   13.241
744   10628.57   83.94  127.38   13.219
744   10628.57  117.52  128.48   18.787
744   10628.57  151.10  127.56   17.664
744   10628.57  184.67  121.10   24.757
744   10628.57  218.25  118.97   23.933
744   10628.57  251.83  118.99   28.615
744   10628.57  285.40     nan      nan
744   10628.57  318.98     nan      nan
745   10642.86   16.55  108.57    2.412
745   10642.86   49.66  127.40   13.056
745   10642.86   82.77  127.25   12.952
745   10642.86  115.88  128.22   18.176
745   10642.86  148.99  127.43   18.427
745   10642.86  182.10  121.74   24.838
745   10642.86  215.21  120.99   24.548
745   10642.86  248.32  118.99   23.974
745   10642.86  281.43     nan      nan
745   10642.86  314.54     nan      nan
746   10657.14   16.38  108.59    2.502
746   10657.14   49.15  127.54   12.920
746   10657.14   81.92  127.04   12.519
746   10657.14  114.68  128.20   17.941
746   10657.14  147.45  127.12   18.485
746   10657.14  180.21  122.83   24.964
746   10657.14  212.98  122.41   24.159
746   10657.14  245.75  117.55   24.736
746   10657.14  278.51     nan      nan
746   10657.14  311.28     nan      nan
747   10671.43   16.58  109.70    2.476
747   10671.43   49.75  127.61   12.955
747   10671.43   82.92  126.69   12.249
747   10671.43  116.08  127.72   18.417
747   10671.43  149.25  126.60   18.876
747   10671.43  182.41  123.51   25.518
747   10671.43  215.58  123.33   23.103
747   10671.43  248.75  119.76   22.605
747   10671.43  281.91     nan      nan
747   10671.43  315.08     nan      nan
748   10685.71   16.78  111.14    2.504
748   10685.71   50.35  127.40   12.858
748   10685.71   83.91  126.16   11.893
748   10685.71  117.48  127.10   18.231
748   10685.71  151.05  126.27   19.751
748   10685.71  184.61  124.01   25.867
748   10685.71  218.18  123.68   22.825
748   10685.71  251.74  121.07   24.940
748   10685.71  285.31     nan      nan
748   10685.71  318.87     nan      nan
749   10700.00   16.98  112.98    2.479
749   10700.00   50.93  127.15   12.847
749   10700.00   84.89  125.84   11.846
749   10700.00  118.85  126.76   17.750
749   10700.00  152.80  125.82   21.381
749   10700.00  186.76  124.90   25.106
749   10700.00  220.72  124.22   21.896
749   10700.00  254.67  119.40   27.134
749   10700.00  288.63     nan      nan
749   10700.00  322.59     nan      nan
750   10714.29   17.17  112.26    2.485
750   10714.29   51.50  127.16   11.786
750   10714.29   85.83  125.84   13.428
750   10714.29  120.16  126.62   17.876
750   10714.29  154.49  125.62   22.311
750   10714.29  188.82  125.54   24.189
750   10714.29  223.15  124.89   21.263
750   10714.29  257.49  120.18   26.536
750   10714.29  291.82     nan      nan
750   10714.29  326.15     nan      nan
751   10728.57   17.35  112.36    2.523
751   10728.57   52.05  127.51   11.432
751   10728.57   86.74  125.67   13.695
751   10728.57  121.44  126.12   18.308
751   10728.57  156.14  125.40   23.126
751   10728.57  190.84  126.30   23.416
751   10728.57  225.54  125.27   21.453
751   10728.57  260.23  123.95   22.624
751   10728.57  294.93     nan      nan
751   10728.57  329.63     nan      nan
752   10742.86   17.52  113.57    2.709
752   10742.86   52.57  128.10   11.260
752   10742.86   87.62  125.94   13.385
752   10742.86  122.66  126.30   18.790
752   10742.86  157.71  125.66   23.314
752   10742.86  192.76  126.97   22.476
752   10742.86  227.80  125.52   21.817
752   10742.86  262.85  124.50   23.431
752   10742.86  297.89     nan      nan
752   10742.86  332.94     nan      nan
753   10757.14   17.70  112.83    2.712
753   10757.14   53.10  127.86   11.222
